slug,title,category,editorial_status,A,B,C,D,E,F,G,H,I,J,K,L,overall,tier,reader_test,recognition_evidence,unique_insight_evidence,generic_dictionary_test,generic_dictionary_note,nearest_neighbor_slug,neighbor_similarity,collision,independent_intent,primary_reason,secondary_reasons,trust_risks,word_count,reflection_question_count,related_dream_count,related_reason_count
feeling-intense-peace,Feeling Intense Peace,Spiritual dreams,IMPROVE,3,3,2,2,2,2,2,3,3,0,3,2,27,P2,Passes,"Feeling intense peace in a dream may reflect relief, emotional integration, spiritual comfort, or a deep need for rest after sustained pressure.",Intense peace in dreams often centers around the absence of conflict.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",calm-water,0.3751,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,761,0,3,3
light-surrounding-you,Light Surrounding You,Spiritual dreams,KEEP,3,3,2,2,1,2,1,1,1,2,3,2,23,P2,Passes,Peace may come from feeling held; awe can reflect intensity without certainty; fear may signal exposure or inability to escape; relief when the light fades suggests overstimulation rather than protection.,"The light feels warm and safe Comfort may reflect trust or relief, especially if choice remains available.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",bright-light-in-the-sky,0.5624,true,"Potentially defensible if this distinction remains central: The light feels warm and safe Comfort may reflect trust or relief, especially if choice remains available.",Generic interpretation,Insufficient symbolic context; Weak spiritual/biblical interpretation,,408,5,3,3
being-protected,Being Protected,Anxiety and fear,IMPROVE,3,2,2,2,2,2,2,3,2,0,3,2,25,P2,Passes,"feeling protected but still alert Mixes calm with awareness, where safety is present but not fully trusted.","escaping danger and finding safety Often carries relief, release, and a drop in tension.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",feeling-intense-peace,0.3514,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,736,0,3,3
two-headed-snake,Two-Headed Snake,Animals and creatures,,3,3,3,2,2,2,2,2,3,2,2,2,28,P3,Passes,"calm two-headed snake May feel strange but not threatening, more curious than fearful.","two-headed snake attacking Often carries fear and overwhelm, especially when the threat feels unpredictable or coming from multiple directions.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.3891,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Insufficient symbolic context,,831,5,2,2
angel-numbers,Angel Numbers,Biblical dreams,KEEP,3,3,2,1,1,0,1,1,1,2,3,2,20,P1,Passes,"Why people search for meaning in angel numbers When answers feel incomplete, the mind naturally looks for connections that help create understanding and structure.",Why angel numbers stand out in dreams Repeating patterns naturally attract attention.,Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",1111,0.4979,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,,,539,5,3,3
meeting-someone-from-your-past,Meeting someone from your past,Relationships,,3,3,2,2,1,1,2,3,2,0,3,2,24,P2,Passes,"Dreams about meeting someone from your past often reflect unresolved emotions, memories, lessons, nostalgia, personal growth, unfinished chapters, healing, self-reflection, or aspects of yourself that were active during that period of your life.","meeting a deceased person from your past May symbolize remembrance, healing, comfort, closure, wisdom, or emotional connection to their influence.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",feeling-nostalgic,0.5394,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,942,0,7,7
feeling-nostalgic,Feeling nostalgic,Transformation and life transitions,IMPROVE,3,3,2,1,1,2,2,3,2,0,3,2,24,P2,Passes,"feeling nostalgic for childhood Often symbolizes innocence, freedom, safety, curiosity, simplicity, or a desire to reconnect with forgotten parts of yourself.","feeling nostalgic but unable to remember why May symbolize emotional processing, subconscious reflection, or a longing for a feeling rather than a specific memory.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",meeting-someone-from-your-past,0.5394,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,887,0,7,7
money,Money,Objects,,3,2,2,2,0,3,3,3,3,2,3,2,28,P3,Passes,Why counting money reflects more than wealth Counting money often represents evaluating your resources rather than simply measuring finances.,"Stealing money May reflect guilt, insecurity, comparison, fear of missing out, or believing you lack something important.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",finding-money,0.7242,true,"Potentially defensible if this distinction remains central: Stealing money May reflect guilt, insecurity, comparison, fear of missing out, or believing you lack something important.",Generic interpretation,Excessive repetition; Likely duplicate intent,,1963,4,8,8
hair-falling-out,Hair falling out,Body-related dreams,KEEP,3,3,3,1,0,2,1,1,1,2,3,2,22,P1,Passes,"Why loss is such a common theme Hair falling out often symbolizes fears about losing something meaningful, valuable, or familiar.","hair falling out in clumps Often symbolizes overwhelming stress, major life changes, emotional exhaustion, or significant fears about loss.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",hair-growing-rapidly,0.6614,true,"Potentially defensible if this distinction remains central: hair falling out in clumps Often symbolizes overwhelming stress, major life changes, emotional exhaustion, or significant fears about loss.",Generic interpretation,Excessive repetition; Likely duplicate intent,,672,5,3,3
being-unable-to-open-your-eyes,Being unable to open your eyes,Anxiety and fear,,3,3,3,1,1,2,2,3,3,2,3,2,28,P3,Passes,"Dreams about being unable to open your eyes often reflect denial, uncertainty, emotional avoidance, lack of clarity, vulnerability, exhaustion, fear of facing something, confusion, helplessness, or difficulty seeing a situation clearly.",Sleep-boundary experience An exhausted person may feel awake in their bedroom but be unable to open their eyes until the episode passes.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",eyes,0.5665,true,Potentially defensible if this distinction remains central: Sleep-boundary experience An exhausted person may feel awake in their bedroom but be unable to open their eyes until the episode passes.,Generic interpretation,Poor conditional scenarios; Excessive repetition,,1092,5,6,6
phone-not-working,Phone not working,Objects,,3,3,2,1,2,1,2,2,3,2,3,2,26,P2,Passes,"Dreams about a phone not working often reflect communication problems, missed opportunities, feeling unheard, disconnection, frustration, uncertainty, relationship issues, lack of support, or difficulty reaching someone emotionally or mentally.",Someone experiencing relationship tension may dream of a broken phone because conversations are not flowing easily.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",failure-to-call-or-communicate,0.404,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Poor conditional scenarios,,927,5,7,7
reliving-a-specific-memory,Reliving a Specific Memory,Transformation and life transitions,KEEP,3,3,2,1,3,2,1,1,1,2,3,2,24,P2,Passes,"Reliving a specific memory in a dream can be simple replay, but changes to the event matter.","a specific moment repeating within the memory Can feel intense or focused, as if that moment carries extra weight.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",seeing-a-dead-person,0.2645,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,Weak spiritual/biblical interpretation; No practical connection,,397,5,3,3
water-rising,Water rising,Water,KEEP,3,3,2,1,0,1,1,1,1,2,3,2,20,P1,Passes,"being trapped by rising water Often symbolizes overwhelm, helplessness, emotional intensity, or feeling unable to escape a situation.",Why rising water feels so powerful The rising movement often symbolizes emotions or situations becoming increasingly important and difficult to ignore.,Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",water,0.6115,true,Potentially defensible if this distinction remains central: Why rising water feels so powerful The rising movement often symbolizes emotions or situations becoming increasingly important and difficult to ignore.,Generic interpretation,Excessive repetition; Likely duplicate intent,,794,5,3,3
flood,Flood,Natural disasters,,2,3,2,2,2,2,2,3,2,2,3,2,27,P2,Passes,"Real flood experience, disaster reporting, and climate anxiety may produce memory- or threat-based dreams rather than symbolic ones.",Disaster memory Someone affected by real flooding may dream of evacuation and damaged rooms as part of processing safety concerns.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",water-rising,0.3994,false,The closest neighbor does not currently erase this page's independent intent.,Weak opening,Generic interpretation; Insufficient emotional context,,857,5,3,3
giving-birth,Giving Birth,Family,,3,3,2,2,3,2,2,2,2,2,3,2,28,P3,Passes,"Public launch Someone launching a business might dream of giving birth and immediately worrying about care, reflecting responsibility after launch.","Pregnancy anticipation A pregnant person might dream of giving birth somewhere unfamiliar, expressing uncertainty without forecasting delivery.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-in-labour,0.2721,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Insufficient symbolic context,,650,4,3,3
aging-suddenly,Aging Suddenly,Transformation and life transitions,,2,2,2,2,3,2,2,2,2,2,2,2,25,P2,Passes,Dreams of aging suddenly often carry a quiet shock — a feeling that time has moved faster than you were ready for.,"Grief may concern opportunities believed to be closing, while shame often comes from comparison rather than age itself.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",deja-vu,0.2996,false,The closest neighbor does not currently erase this page's independent intent.,Weak opening,Generic interpretation; Insufficient emotional context,,868,5,2,2
watching-yourself-like-a-movie,Watching Yourself Like a Movie,Spiritual dreams,KEEP,3,3,2,2,3,1,2,2,2,2,2,2,26,P2,Passes,"Dreams of watching yourself like a movie often carry a quiet distance — as if you’re seeing your life clearly, but not fully inside it.",Harsh self-review Someone replaying a presentation might dream of watching themselves on a screen while an unseen audience rewinds every mistake.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",deja-vu,0.3288,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,,,738,5,2,2
mirrors,Mirrors,Transformation and life transitions,KEEP_MODEL_CANDIDATE,2,2,2,2,2,1,2,2,2,2,2,2,23,P2,Passes,Curiosity supports self-examination; shame makes visibility threatening; confusion arises when the image conflicts with felt identity.,Mirrors show a mediated image rather than the whole person.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",different-reflection-in-the-mirror,0.3941,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,,,725,5,2,2
pregnant-with-twins,Pregnant with twins,Family,KEEP,3,3,2,2,1,2,1,2,1,2,3,2,24,P2,Passes,"Whether you were pregnant, who else knew, how the twins appeared, your physical comfort, the stage of pregnancy, and what happened afterward change the interpretation.",Why twin pregnancy dreams feel so full Dreams about being pregnant with twins often feel full because they suggest more than one important thing developing at the same time.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",pregnant,0.4781,true,Potentially defensible if this distinction remains central: Why twin pregnancy dreams feel so full Dreams about being pregnant with twins often feel full because they suggest more than one important thing developing at the same time.,Generic interpretation,Insufficient symbolic context; No practical connection,,889,5,4,4
packing,Packing,Transformation and life transitions,,3,2,2,1,3,2,2,3,2,0,3,2,25,P2,Passes,Why the destination is sometimes unknown Many packing dreams focus on preparation rather than arrival.,"If the packing feels organized and calm, the dream may reflect readiness, acceptance, confidence, or excitement about what lies ahead.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",moving-to-a-new-house,0.1889,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1116,0,5,5
moving-back-to-an-old-house,Moving Back to an Old House,Houses and places,,3,3,3,1,0,2,2,3,3,0,3,2,25,P2,Passes,"moving back into a beautiful old house May symbolize rediscovering strengths, positive memories, forgotten dreams, or valuable parts of yourself.","moving back into an old family house May symbolize family connections, inherited beliefs, unresolved family issues, or emotional roots.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",old-house,0.6628,true,"Potentially defensible if this distinction remains central: moving back into an old family house May symbolize family connections, inherited beliefs, unresolved family issues, or emotional roots.",Generic interpretation,Weak reflection questions; Excessive repetition,,1148,0,5,5
saying-no-at-a-wedding,Saying No at a Wedding,Relationships,,3,3,2,1,1,2,2,3,2,0,3,2,24,P2,Passes,Why saying no feels so powerful in dreams The subconscious often uses weddings because they represent major commitments.,"saying no at your own wedding Often reflects reevaluating an important commitment, decision, or future direction.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",saying-yes-when-you-dont-want-to,0.5485,true,"Potentially defensible if this distinction remains central: saying no at your own wedding Often reflects reevaluating an important commitment, decision, or future direction.",Weak reflection questions,,,1099,0,5,5
engagement,Getting engaged,Relationships,KEEP,3,3,2,1,2,1,1,1,1,2,3,2,22,P1,Passes,"getting engaged to a stranger May symbolize unexplored opportunities, unknown futures, or developing aspects of yourself.","getting engaged to someone unexpected Often reflects surprising possibilities, changing priorities, or qualities becoming important.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",ring,0.3569,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Insufficient symbolic context; Weak spiritual/biblical interpretation,,539,5,3,3
being-late-for-class,Being late for class,Transformation and life transitions,KEEP,3,3,3,2,1,2,1,2,1,2,3,2,25,P2,Passes,"What class you were late for, the cause of delay, who judged you, whether you entered, and how prepared you felt distinguish performance anxiety from a timetable that no longer belongs to you.","Why recurring dreams happen Recurring dreams about being late for class may suggest ongoing pressure, perfectionism, fear of failure, self-comparison, important responsibilities, or goals that continue demanding attention.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-late,0.4836,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient symbolic context; No practical connection,,602,5,3,3
breastfeeding-a-baby,Breastfeeding a baby,Family,,3,3,2,1,1,1,2,2,3,2,3,2,25,P2,Passes,"peacefully breastfeeding a baby Often symbolizes emotional connection, nurturing, fulfillment, healthy growth, and support.","breastfeeding a crying baby May reflect urgent emotional needs, caregiving responsibilities, or concerns about providing support.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",holding-a-baby,0.4821,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Poor conditional scenarios,,1179,5,5,5
finding-a-baby,Finding a baby,Family,KEEP,3,3,2,1,0,1,1,1,1,2,3,3,21,P1,Passes,"finding a healthy baby Often symbolizes positive opportunities, growth, potential, hope, and encouraging new beginnings.","losing the baby after finding it Often reflects fears of missed opportunities, neglect, self-doubt, or concerns about maintaining progress.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",abandoned-baby,0.6159,true,"Potentially defensible if this distinction remains central: losing the baby after finding it Often reflects fears of missed opportunities, neglect, self-doubt, or concerns about maintaining progress.",Generic interpretation,Excessive repetition; Likely duplicate intent,,561,4,3,3
abandoned-baby,Abandoned baby,Family,,3,3,2,2,0,1,2,2,2,2,3,2,24,P2,Passes,"seeing a sick abandoned baby Often symbolizes emotional wounds, burnout, neglected wellbeing, or concerns about deterioration.","seeing a healthy abandoned baby May symbolize unrealized potential, overlooked opportunities, or growth that can still be developed.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",finding-a-baby,0.6159,true,"Potentially defensible if this distinction remains central: seeing a healthy abandoned baby May symbolize unrealized potential, overlooked opportunities, or growth that can still be developed.",Generic interpretation,Excessive repetition; Likely duplicate intent,,731,4,5,5
baby-smiling,Baby smiling,Family,IMPROVE,3,3,2,2,1,2,2,2,3,2,3,2,27,P2,Passes,"a smiling newborn baby Often symbolizes fresh beginnings, hope, innocence, and encouraging new possibilities.","a smiling baby becoming upset Often reflects concerns about maintaining happiness, stability, or progress.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",finding-a-baby,0.4697,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Excessive repetition,,704,4,5,5
baby-dying,Baby dying,Family,,3,3,3,2,1,3,2,2,3,2,3,2,29,P3,Passes,"A baby-dying dream can express fear, grief, helplessness, or an ending involving something vulnerable.","a baby dying and then coming back to life Often symbolizes recovery, second chances, renewed hope, resilience, or revived opportunities.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",losing-a-baby,0.547,true,"Potentially defensible if this distinction remains central: a baby dying and then coming back to life Often symbolizes recovery, second chances, renewed hope, resilience, or revived opportunities.",Generic interpretation,Excessive repetition; Likely duplicate intent,,768,4,5,5
broken-teeth,Broken teeth,Body-related dreams,,3,3,2,1,0,2,2,2,3,0,3,2,23,P1,Passes,"spitting out broken teeth May symbolize release, confronting fears, acknowledging vulnerability, or processing emotional pressure.","Why vulnerability becomes a central theme Broken teeth frequently appear when situations expose fears, insecurities, or emotional sensitivities.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",teeth-falling-out,0.7126,true,"Potentially defensible if this distinction remains central: Why vulnerability becomes a central theme Broken teeth frequently appear when situations expose fears, insecurities, or emotional sensitivities.",Generic interpretation,Weak reflection questions; Excessive repetition,,890,0,4,4
rotten-teeth,Rotten teeth,Body-related dreams,,3,3,3,1,1,2,2,2,3,0,3,2,25,P2,Passes,"hiding rotten teeth from others May symbolize shame, fear of judgment, secrecy, or concerns about how others perceive you.","Why rotten teeth feel so disturbing Tooth decay combines vulnerability, appearance, health, and deterioration, making it a powerful symbol of neglected issues.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",teeth-falling-out,0.571,true,"Potentially defensible if this distinction remains central: Why rotten teeth feel so disturbing Tooth decay combines vulnerability, appearance, health, and deterioration, making it a powerful symbol of neglected issues.",Weak reflection questions,,,938,0,5,5
pulling-out-teeth,Pulling out teeth,Body-related dreams,,3,3,3,1,1,2,2,2,3,0,3,2,25,P2,Passes,"Dreams about pulling out teeth often reflect letting go, personal transformation, difficult decisions, self-image concerns, emotional release, ending unhealthy situations, confronting fears, taking control, or removing something from your life that no longer serves you.",Someone confronting a long-standing problem may dream of pulling out teeth because action is finally replacing avoidance.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",teeth-falling-out,0.5797,true,Potentially defensible if this distinction remains central: Someone confronting a long-standing problem may dream of pulling out teeth because action is finally replacing avoidance.,Weak reflection questions,,,942,0,5,5
finding-money,Finding money,Objects,,3,3,3,2,0,1,2,2,2,2,3,2,25,P2,Passes,"Finding money in a dream centers unexpected discovery: what was found, whether it felt yours to keep, and what you did next can matter more than money as abundance.",Finding money can concern recognition as much as acquisition: identifying and using an existing resource responsibly rather than waiting for rescue from outside.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",money,0.7242,true,Potentially defensible if this distinction remains central: Finding money can concern recognition as much as acquisition: identifying and using an existing resource responsibly rather than waiting for rescue from outside.,Generic interpretation,Excessive repetition; Likely duplicate intent,,772,4,5,5
losing-money,Losing money,Objects,,3,3,2,1,0,1,2,2,3,2,3,2,24,P1,Passes,"losing a large amount of money May symbolize significant fears, major uncertainty, reduced confidence, or concerns about important losses.","having money stolen May reflect feelings of betrayal, unfairness, exploitation, or losing something valuable through outside influences.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",money,0.6816,true,"Potentially defensible if this distinction remains central: having money stolen May reflect feelings of betrayal, unfairness, exploitation, or losing something valuable through outside influences.",Generic interpretation,Excessive repetition; Likely duplicate intent,,699,4,5,5
receiving-money,Receiving money,Objects,,3,3,2,2,0,0,2,2,2,2,3,2,23,P2,Passes,"receiving money from a loved one Often symbolizes emotional support, encouragement, trust, connection, or shared resources.","receiving money from a stranger May symbolize unexpected opportunities, hidden support, or positive developments entering your life.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",money,0.6959,true,"Potentially defensible if this distinction remains central: receiving money from a stranger May symbolize unexpected opportunities, hidden support, or positive developments entering your life.",Generic interpretation,Insufficient emotional context; Excessive repetition,,679,4,5,5
stealing-money,Stealing money,Objects,,3,3,3,2,1,1,2,2,3,2,3,2,27,P2,Passes,"being caught stealing money Often reflects guilt, accountability, fear of judgment, or concerns about personal integrity.","stealing money from a stranger Often symbolizes pursuing opportunities, hidden desires, or attempting to gain something unfamiliar.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",money,0.5441,true,"Potentially defensible if this distinction remains central: stealing money from a stranger Often symbolizes pursuing opportunities, hidden desires, or attempting to gain something unfamiliar.",Generic interpretation,Insufficient emotional context; Excessive repetition,,721,4,4,4
someone-dying,Someone dying,Death and grief,KEEP,3,3,2,1,1,2,1,2,1,2,3,2,23,P1,Passes,"Why recurring dreams happen Recurring dreams about someone dying may suggest ongoing emotional transitions, unresolved attachment, fear of change, relationship shifts, or personal transformation that continues requiring attention.","someone dying and coming back to life Often symbolizes renewal, resilience, second chances, healing, or personal rebirth.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",death,0.5442,true,"Potentially defensible if this distinction remains central: someone dying and coming back to life Often symbolizes renewal, resilience, second chances, healing, or personal rebirth.",Generic interpretation,Insufficient symbolic context; No practical connection,,741,5,4,4
parent-dying,Parent dying,Family,,3,3,2,2,1,2,2,2,3,2,3,2,27,P2,Passes,"Dreams about a parent dying often reflect personal growth, changing family dynamics, independence, emotional transitions, fear of loss, shifting responsibilities, identity development, or the end of a familiar stage of life rather than predicting a literal death.","a parent dying and returning Often symbolizes renewal, reconciliation, healing, resilience, or rediscovering important family connections.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",someone-dying,0.5052,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Excessive repetition; Likely duplicate intent,,990,5,5,5
child-dying,Child dying,Family,,3,3,2,1,1,2,2,2,3,2,3,2,26,P2,Passes,"Dreams about a child dying often reflect transformation, the end of a developing chapter, vulnerability, changing responsibilities, lost innocence, fear of failure, emotional growth, or concerns about something precious rather than predicting a literal death.","a child dying and coming back to life Often symbolizes resilience, renewal, second chances, healing, and hope after emotional difficulty.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",seeing-your-dead-child,0.5414,true,"Potentially defensible if this distinction remains central: a child dying and coming back to life Often symbolizes resilience, renewal, second chances, healing, and hope after emotional difficulty.",Generic interpretation,Poor conditional scenarios; Excessive repetition,,1039,5,5,5
husband-dying,Husband dying,Death and grief,,3,3,3,2,1,3,2,2,3,2,3,3,30,P3,Passes,"Dreams about a husband dying often reflect relationship changes, emotional transformation, shifting roles, personal growth, fear of loss, changing responsibilities, evolving commitment, or the end of a particular stage within the relationship rather than predicting a literal death.","husband dying peacefully May reflect acceptance, healing, forgiveness, or the natural evolution of a relationship.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",wife-dying,0.5086,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Excessive repetition; Likely duplicate intent,,1121,5,5,5
wife-dying,Wife dying,Death and grief,,3,3,3,2,1,2,2,2,3,2,3,2,28,P3,Passes,Why fear is not always the message Many dreams about a wife dying reflect emotional evolution and relationship growth rather than danger or prediction.,"wife dying peacefully May reflect acceptance, healing, forgiveness, or the natural evolution of a relationship.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",husband-dying,0.5086,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Excessive repetition; Likely duplicate intent,,1132,5,5,5
flooded-house,Flooded house,Houses and places,,3,2,2,1,1,1,2,2,3,2,3,2,24,P2,Passes,"saving belongings from a flooded house Often symbolizes protecting important values, memories, relationships, or aspects of your identity during change.",Someone processing grief or unresolved feelings may dream of a flooded house because emotions are becoming more visible.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",house,0.4977,true,Potentially defensible if this distinction remains central: Someone processing grief or unresolved feelings may dream of a flooded house because emotions are becoming more visible.,Generic interpretation,Insufficient emotional context; Poor conditional scenarios,,1126,5,5,5
old-house,Old house,Houses and places,KEEP,3,3,2,2,0,1,1,2,1,2,3,2,22,P1,Passes,You return to a welcoming old house The dream may be revisiting a quality of belonging or safety rather than asking you to recreate the past literally.,Inherited expectations Someone questioning tradition might dream of receiving keys to an old house they did not choose.,Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",moving-back-to-an-old-house,0.6628,true,Potentially defensible if this distinction remains central: Inherited expectations Someone questioning tradition might dream of receiving keys to an old house they did not choose.,Generic interpretation,Excessive repetition; Likely duplicate intent,,736,5,4,4
haunted-house,Haunted house,Houses and places,,3,3,3,1,1,2,2,2,3,2,3,2,27,P2,Passes,"Why fear is not always the message Many haunted-house dreams reflect healing and emotional awareness rather than danger, encouraging reflection instead of avoidance.","being trapped in a haunted house Often reflects feeling stuck in emotional patterns, fear, or unresolved situations.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",house,0.5442,true,"Potentially defensible if this distinction remains central: being trapped in a haunted house Often reflects feeling stuck in emotional patterns, fear, or unresolved situations.",Generic interpretation,Poor conditional scenarios; Excessive repetition,,985,5,5,5
house,House,Houses and places,,3,3,2,3,0,3,2,3,2,2,3,2,28,P3,Passes,"Rather than asking only what happened inside the house, consider asking: How did being inside that house make me feel?","A haunted house May reflect fear, unresolved trauma, lingering guilt, or emotional wounds that continue affecting your present.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",new-house,0.7045,true,"Potentially defensible if this distinction remains central: A haunted house May reflect fear, unresolved trauma, lingering guilt, or emotional wounds that continue affecting your present.",Generic interpretation,Excessive repetition; Likely duplicate intent,,2677,4,7,7
mud-house,Mud / grass house,Houses and places,IMPROVE,3,3,3,1,2,0,2,2,3,0,3,2,24,P2,Passes,"Dreams about a mud or grass house often reflect simplicity, family roots, emotional foundations, humility, resilience, ancestral connections, personal identity, and the need to appreciate what truly provides security and belonging.","Symbolically, a mud or grass house often represents simple foundations, resilience, heritage, family values, humility, and emotional grounding.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",house,0.4568,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Weak reflection questions,,858,0,5,5
discovering-new-rooms-in-a-house,Discovering new rooms in a house,Houses and places,,3,3,3,1,1,1,2,2,3,2,3,2,26,P2,Passes,"Dreams about discovering new rooms in a house often reflect self-discovery, hidden potential, personal growth, emotional awareness, new opportunities, spiritual development, or uncovering parts of yourself that are ready to emerge.","Why this dream often feels positive Unlike many dreams driven by fear, discovering new rooms frequently reflects hope, possibility, and personal growth.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",house,0.4697,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Poor conditional scenarios,,961,5,5,5
singing-with-a-crowd,Singing with a crowd,Relationships,IMPROVE,3,3,2,1,3,2,2,2,3,0,3,2,26,P2,Passes,"singing joyfully with a crowd May reflect celebration, belonging, emotional harmony, and meaningful relationships.","singing worship songs with a crowd Often symbolizes faith, gratitude, spiritual renewal, encouragement, and collective worship.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",disappearing-in-a-crowd,0.3119,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,891,0,5,5
floating-in-a-dark-void,Floating in a dark void,Spiritual dreams,IMPROVE,3,3,3,1,2,2,2,2,2,0,3,2,25,P2,Passes,"Dreams about floating in a dark void often reflect uncertainty, self-discovery, emotional stillness, spiritual reflection, life transitions, the unknown, surrender, or being between one stage of life and the next.","Why recurring dreams happen Recurring dreams about floating in a dark void may suggest ongoing uncertainty, emotional healing, spiritual growth, identity development, or a prolonged transition that continues unfolding over time.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",darkness,0.3758,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,885,0,4,4
living-a-double-life,Living a double life,Transformation and life transitions,KEEP,3,3,3,1,3,2,1,1,1,2,1,2,23,P2,Passes,"being caught living a double life May reflect fear of judgment, vulnerability, exposure, or revealing your authentic self.","Why recurring dreams happen Recurring dreams about living a double life may suggest ongoing identity conflict, hidden emotions, fear of judgment, people-pleasing, or personal transformation that continues seeking greater authenticity.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",seeing-your-double,0.3137,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,Weak spiritual/biblical interpretation; No practical connection,,611,5,1,1
